source,target,relation
Certified Specialist In Data Science & Analytics,Software Engineering Fundamentals For Data,has_module
Certified Specialist In Data Science & Analytics,Driven Projects Etl Vs Elt: Building Robust Data Pipelines Using Apache Airflow,has_module
Certified Specialist In Data Science & Analytics,Foundations Of Data Science,has_module
Certified Specialist In Data Science & Analytics,Machine Learning,has_module
Certified Specialist In Data Science & Analytics,Ai & Ethics In Ai Data Warehousing Concepts: Olap,has_module
Certified Specialist In Data Science & Analytics,Oltp & Dimensional Modeling,has_module
Certified Specialist In Data Science & Analytics,Python Programming Basics For Data Science Data Visualization: Matplotlib,has_module
Certified Specialist In Data Science & Analytics,Seaborn,has_module
Certified Specialist In Data Science & Analytics,Tableau & Data Storytelling,has_module
Certified Specialist In Data Science & Analytics,Inferential Statistics: Hypothesis Testing With P,has_module
Certified Specialist In Data Science & Analytics,And F Tests Supervised Learning: Regression,has_module
Certified Specialist In Data Science & Analytics,Classification & Ensemble,has_module
Certified Specialist In Data Science & Analytics,Linear Algebra For Ml: Matrices,has_module
Certified Specialist In Data Science & Analytics,Eigenvalues,has_module
Certified Specialist In Data Science & Analytics,Eigenvectors & Techniques,has_module
Certified Specialist In Data Science & Analytics,Decomposition Model Evaluation,has_module
Certified Specialist In Data Science & Analytics,Selection & Hyperparameter Optimization,has_module
Certified Specialist In Data Science & Analytics,Boosting,has_module
Certified Specialist In Data Science & Analytics,Stacking &,has_module
Certified Specialist In Data Science & Analytics,Data Analysis With Python: Numpy And Pandas Essentials Cascading,has_module
Certified Specialist In Data Science & Analytics,Means,has_module
Certified Specialist In Data Science & Analytics,Hierarchical &,has_module
Certified Specialist In Data Science & Analytics,Automation Dbscan,has_module
Certified Specialist In Data Science & Analytics,Sql For Data Science: Queries,has_module
Certified Specialist In Data Science & Analytics,Joins,has_module
Certified Specialist In Data Science & Analytics,Procedures Web Development For Data Science: Flask,has_module
Certified Specialist In Data Science & Analytics,Fastapi & Streamlit,has_module
Certified Specialist In Data Science & Analytics,Working With Data Structures: Arrays,has_module
Certified Specialist In Data Science & Analytics,Series,has_module
Certified Specialist In Data Science & Analytics,Vectors & Dataframes Deep Learning,has_module
Certified Specialist In Data Science & Analytics,Large Language Models (Llms) & Generative Ai,has_module
Certified Specialist In Data Science & Analytics,Feature Engineering: Data Types,has_module
Certified Specialist In Data Science & Analytics,Extraction,has_module
Certified Specialist In Data Science & Analytics,And Transformation Prompt Engineering & Gpt,has_module
Certified Specialist In Data Science & Analytics,Based Language Understanding,has_module
Certified Specialist In Data Science & Analytics,Techniques Big Data Ecosystem: Hadoop,has_module
Certified Specialist In Data Science & Analytics,Spark & Distributed Computing Basics,has_module
Certified Specialist In Data Science & Analytics,Data Pre,has_module
Certified Specialist In Data Science & Analytics,Processing: Cleaning,has_module
Certified Specialist In Data Science & Analytics,Encoding,has_module
Certified Specialist In Data Science & Analytics,Scaling & Correlation Cloud Fundamentals & Devops Practices For Model Deployment,has_module
Certified Specialist In Data Science & Analytics,Analysis Capstone Project: End,has_module
Certified Specialist In Data Science & Analytics,To,has_module
Certified Specialist In Data Science & Analytics,End Development And Deployment,has_module
Certified Specialist In Data Science & Analytics,Problem Solving And Design Thinking,has_module
Certified Specialist In Data Science & Analytics,Introduction To Data Science,has_module
Certified Specialist In Data Science & Analytics,Python Programming And Data Handling,has_module
Certified Specialist In Data Science & Analytics,Data Visualisation And Eda,has_module
Certified Specialist In Data Science & Analytics,Supervised And Unsupervised Learning Algorithms,has_module
Certified Specialist In Data Science & Analytics,Deep Dive Into Cloud Computing,has_module
Certified Specialist In Data Science & Analytics,Model Deployment Mlops,has_module
Certified Specialist In Data Science & Analytics,Capstone Project,has_module
Certified Specialist In Full Stack Development (Mern),Software Engineering Fundamentals Middleware,has_module
Certified Specialist In Full Stack Development (Mern),An Overview Of Full Stack Development Authentication & Authorisation With Jwt,has_module
Certified Specialist In Full Stack Development (Mern),Mern Stack Architecture End,has_module
Certified Specialist In Full Stack Development (Mern),To,has_module
Certified Specialist In Full Stack Development (Mern),End Web Development Using The Mern,has_module
Certified Specialist In Full Stack Development (Mern),Structuring And Styling Web Pages With Html5 Stack,has_module
Certified Specialist In Full Stack Development (Mern),And Css3 Web Application Testing,has_module
Certified Specialist In Full Stack Development (Mern),Javascript Foundations Cloud Fundamentals And Introduction To Devops,has_module
Certified Specialist In Full Stack Development (Mern),Version Control With Git And Github Practices,has_module
Certified Specialist In Full Stack Development (Mern),Advanced Javascript Concepts Capstone Project Development And Deployment,has_module
Certified Specialist In Full Stack Development (Mern),Essentials Of Javascript Package Management,has_module
Certified Specialist In Full Stack Development (Mern),Backend Development With Node.Js,has_module
Certified Specialist In Full Stack Development (Mern),Building Apis With Express.Js,has_module
Certified Specialist In Full Stack Development (Mern),Building Web Applications With Node.Js And,has_module
Certified Specialist In Full Stack Development (Mern),Express.Js,has_module
Certified Specialist In Full Stack Development (Mern),Nosql Database Management Using Mongodb,has_module
Certified Specialist In Full Stack Development (Mern),Building User Interfaces With React.Js,has_module
Certified Specialist In Full Stack Development (Mern),State Management Using Redux Toolkit,has_module
